"Player","Team","Pos","Ht","Wt","Hometown","Exp","Debut","DOB","Age","G","MPG","PPG","RPG","APG"
"Saddiq Bey","ATL","SF","6-08","216","","","2021","1999-04-09","25","63","32.3","13.7","6.5","1.5"
"Jaylen Nowell","MEM","","6-04","200","Seattle, WA","","2020","1999-04-09","25","9","16.8","5.7","1.6","1.4"
"Jarred Vanderbilt","LAL","PF","6-09","214","","","2019","1999-04-03","25","30","19.3","5.0","4.7","1.2"
"Onuralp Bitim","CHI","SF","6-05","215","Kadikoy, Turkey","","2024","1999-03-31","25","23","11.1","3.5","1.4","0.6"
"Justin Minaya","POR","SF","6-07","210","Harrington Park, NJ","","2023","1999-03-26","25","33","11.1","1.8","1.7","0.6"
"Jamal Cain","MIA","SF","6-07","191","Pontiac, Michigan","","2023","1999-03-20","25","19","12.8","5.1","1.9","0.5"
"Marvin Bagley","DET","C","6-11","234","Tempe, Arizona","","2019","1999-03-14","25","26","20.6","11.7","6.2","1.1"
"Corey Kispert","WAS","SG","6-07","220","","","2022","1999-03-03","25","80","25.4","13.4","2.8","2.0"
"Luka Doncic","DAL","PG","6-07","218","","","2019","1999-02-28","25","79","37.5","33.2","9.2","9.7"
"Olivier Sarr","OKC","C","7-00","237","","","2022","1999-02-20","25","14","6.4","2.4","2.6","0.1"
"Jeenathan Williams","HOU","","6-05","205","Rochester, NY","","2023","1999-02-12","25","4","4.8","3.2","0.0","0.5"
"Dexter Dennis","DAL","","6-05","210","Baker, LA","","2024","1999-02-09","25","4","7.0","5.5","2.2","1.0"
"Xavier Tillman","MEM","C","6-08","245","","","2021","1999-01-12","25","33","17.4","5.1","3.9","1.4"
"Collin Sexton","UTA","SG","6-01","190","Marietta, Georgia","","2019","1999-01-04","25","78","26.2","18.7","2.6","4.9"
"Aaron Wiggins","OKC","PF","6-06","200","","","2022","1999-01-02","25","85","15.4","7.0","2.5","1.1"
"Luka Garza","MIN","C","6-11","265","Washington, District of Columbia","","2022","1998-12-27","25","25","5.0","4.6","1.4","0.2"
"D'Moi Hodge","LAL","","6-04","188","Tortola, British Virgin Islan","","2024","1998-12-20","25","7","5.6","2.0","0.0","0.7"
"Lonnie Walker","BRK","SG","6-05","205","Reading, PA","","2019","1998-12-14","25","58","16.9","9.7","2.2","1.3"
"Grant Williams","DAL","PF","6-06","236","Houston, TX","","2020","1998-11-30","25","47","27.6","10.3","4.2","2.3"
"Jermaine Samuels","HOU","PF","6-07","230","Franklin, Massachusetts","","2024","1998-11-13","25","12","4.4","1.7","1.1","0.2"
"Jordan Goodwin","PHO","","6-03","200","Belleville, IL","","2022","1998-10-23","25","38","18.6","6.7","4.6","2.8"
"Jericho Sims","NYK","C","6-10","245","Minneapolis, Minnesota","","2022","1998-10-20","25","45","13.0","2.1","3.5","0.6"
"Herb Jones","NOP","SG","6-08","210","","","2022","1998-10-06","25","82","30.3","11.0","3.6","2.6"
"Daniel Gafford","WAS","C","6-10","233","El Dorado, Arkansas","","2020","1998-10-01","25","45","23.7","10.7","7.3","1.5"
"Trae Young","ATL","PG","6-01","180","Lubbock, Texas","","2019","1998-09-19","25","55","35.4","25.7","2.8","10.8"
"Jordan Nwora","IND","PF","6-07","225","","","2021","1998-09-09","25","15","14.2","7.6","3.1","1.3"
"Davion Mitchell","SAC","PG","6-02","205","","","2022","1998-09-05","25","73","15.1","5.4","1.4","1.8"
"Nickeil Alexander-Walker","MIN","SG","6-05","205","","","2020","1998-09-02","25","90","23.5","8.1","2.1","2.5"
"Josh Okogie","PHO","SF","6-04","211","Lagos, Nigeria","","2019","1998-09-01","25","63","15.1","4.6","2.5","1.0"
"Kevin Huerter","SAC","SG","6-07","190","Albany, New York","","2019","1998-08-27","25","63","24.4","10.4","3.5","2.6"
"PJ Washington","CHH","PF","6-07","228","Louisville, Kentucky","","2020","1998-08-23","25","44","30.5","13.0","5.7","1.8"
"Chuma Okeke","ORL","PF","6-08","230","","","2021","1998-08-18","25","46","9.1","2.5","1.7","0.5"
"Bruno Fernando","ATL","C","6-09","240","Luanda, Angola","","2020","1998-08-15","25","45","14.8","6.4","4.3","1.0"
"Isaiah Livers","DET","PF","6-07","230","Kalamazoo, Michigan","","2022","1998-07-28","25","23","20.0","5.0","2.1","1.1"
"Frank Ntilikina","CHH","PG","6-04","190","Ixelles, Belgium","","2018","1998-07-28","25","5","8.0","1.0","1.2","0.8"
"Deandre Ayton","POR","C","6-11","250","Nassau, Bahamas","","2019","1998-07-23","25","55","31.9","16.7","11.0","1.6"
"Jacob Gilyard","MEM","PG","5-09","160","Kansas City, Missouri","","2023","1998-07-14","25","35","17.4","4.4","1.2","3.5"
"Shai Gilgeous-Alexander","OKC","SG","6-05","181","","","2019","1998-07-12","25","82","33.9","30.0","5.7","6.2"
"Michael Porter","DEN","SF","6-10","210","Columbia, Missouri","","2020","1998-06-29","25","90","31.8","16.9","6.9","1.5"
"Desmond Bane","MEM","SG","6-06","215","","","2021","1998-06-25","25","42","33.9","23.7","4.5","5.3"
"Oshae Brissett","BOS","PF","6-07","210","Toronto, Canada","","2020","1998-06-20","25","58","10.6","3.6","2.9","0.8"
"Omer Yurtseven","UTA","C","7-00","264","","","2022","1998-06-19","25","45","11.5","4.9","4.6","0.6"
"Trent Forrest","ATL","PG","6-04","210","Dothan, Alabama","","2021","1998-06-12","25","38","10.4","2.2","1.3","2.4"
"Armoni Brooks","BRK","","6-03","195","Round Rock, TX","","2021","1998-06-05","25","10","9.9","4.2","1.9","0.5"
"Markelle Fultz","ORL","PG","6-03","200","","","2018","1998-05-29","25","50","19.8","7.6","3.0","2.6"
"Austin Reaves","LAL","SG","6-05","206","","","2022","1998-05-29","25","89","31.7","16.0","4.2","5.3"
"De'Anthony Melton","PHI","SG","6-02","200","North Hollywood, California","","2019","1998-05-28","25","39","26.0","10.8","3.6","2.8"
"Jordan Ford","SAC","","6-01","175","—","","2024","1998-05-26","25","6","3.3","2.0","0.3","0.3"
"Mohamed Bamba","PHI","C","7-00","221","Harlem, NY","","2019","1998-05-12","26","55","12.9","4.6","4.3","0.7"
"Malachi Flynn","TOR","PG","6-01","185","","","2021","1998-05-10","26","31","12.7","5.8","1.8","2.0"
"Isaiah Hartenstein","NYK","C","7-00","249","Eugene, Oregon","","2019","1998-05-05","26","85","25.4","8.0","8.2","2.7"
"Harry Giles","BRK","C","6-11","240","Winstom-Salem, NC","","2019","1998-04-22","26","14","4.6","2.9","1.6","0.3"
"Jarrett Allen","CLE","C","6-11","237","Austin, Texas","","2018","1998-04-21","26","81","31.2","16.5","10.7","2.6"
"Jose Alvarado","NOP","PG","6-00","179","Brooklyn, New York","","2022","1998-04-12","26","62","17.8","6.8","2.2","2.2"
"Micah Potter","UTA","PF","6-10","248","Mentor, OH","","2022","1998-04-06","26","15","11.7","3.5","2.9","0.4"
"Mitchell Robinson","NYK","C","7-00","223","Pensacola, Florida","","2019","1998-04-01","26","37","23.4","5.1","8.1","0.6"
"Lindell Wigginton","MIL","","6-02","189","Halifax, Canada","","2022","1998-03-28","26","2","3.0","3.0","0.0","0.0"
"Miles Bridges","CHH","PF","6-06","225","Flint, MI","","2019","1998-03-21","26","69","36.9","21.0","7.2","3.4"
"Obi Toppin","IND","PF","6-09","220","","","2021","1998-03-04","26","93","20.5","10.5","3.9","1.5"
"Jayson Tatum","BOS","PF","6-08","208","St. Louis, MO","","2018","1998-03-03","26","82","35.5","26.5","8.4","5.0"
"Rui Hachimura","LAL","SF","6-08","230","","","2020","1998-02-08","26","75","26.5","13.0","4.2","1.1"
"Malik Monk","SAC","SG","6-03","200","Jonesboro, AR","","2018","1998-02-04","26","72","25.5","15.4","2.9","5.1"
"Jalen McDaniels","TOR","PF","6-10","195","Federal Way, WA","","2020","1998-01-31","26","50","10.3","3.4","1.6","0.8"
"Payton Pritchard","BOS","PG","6-02","190","Tualatin, Oregon","","2021","1998-01-28","26","90","21.8","9.4","3.2","3.4"
"Naji Marshall","NOP","SF","6-07","220","Atlantic City, New Jersey","","2021","1998-01-24","26","71","18.8","7.2","3.6","1.9"
"James Huff","DEN","C","7-01","240","Durham, NC","","2022","1998-01-01","26","15","2.6","1.4","0.7","0.1"
"Dru Smith","MIA","","6-03","203","","","2023","1997-12-30","26","9","14.1","4.1","1.7","1.6"
"De'Aaron Fox","SAC","PG","6-03","175","","","2018","1997-12-20","26","76","35.5","26.6","4.6","5.6"
"Sam Hauser","BOS","SF","6-08","218","Green Bay, Wisconsin","","2022","1997-12-08","26","87","20.9","8.7","3.3","1.0"
"De'Andre Hunter","ATL","PF","6-07","225","","","2020","1997-12-01","26","58","29.2","15.5","3.9","1.6"
"Nick Richards","CHH","C","6-11","247","Kingston, Jamaica","","2021","1997-11-29","26","67","25.7","9.7","8.0","0.8"
"Dennis Smith","BRK","PG","6-02","195","Godwin, NC","","2018","1997-11-25","26","56","18.4","6.6","2.9","3.6"
"Zach Collins","SAS","C","6-11","235","","","2018","1997-11-19","26","69","21.8","11.3","5.3","2.8"
"Robert Williams","POR","","6-08","240","Shreveport, LA","","2019","1997-10-17","26","6","19.3","6.8","6.2","0.8"
"Jonathan Isaac","ORL","PF","6-11","210","","","2018","1997-10-03","26","65","15.8","6.7","4.5","0.5"
"John Collins","UTA","C","6-09","235","","","2018","1997-09-23","26","68","27.5","15.1","8.4","1.1"
"Skylar Mays","POR","PG","6-04","205","Baton Rouge, LA","","2021","1997-09-05","26","20","12.3","4.6","1.3","2.4"
"Brandon Ingram","NOP","SF","6-07","190","","","2017","1997-09-02","26","70","32.4","20.3","5.0","5.5"
"DaQuan Jeffries","NYK","","6-05","230","","","2022","1997-08-30","26","14","3.6","1.4","0.6","0.4"
"Thomas Bryant","MIA","C","6-10","248","Rochester, NY","","2018","1997-07-31","26","41","10.7","5.7","3.6","0.6"
"Lindy Waters","OKC","SG","6-06","215","","","2022","1997-07-28","26","36","7.4","3.8","1.1","0.7"
"Furkan Korkmaz","PHI","","6-07","185","Bakirkoy, Turkey","","2018","1997-07-24","26","35","8.1","2.5","0.9","0.7"
"Bam Adebayo","MIA","C","6-09","255","Newark, New Jersey","","2018","1997-07-18","26","78","33.7","19.3","10.3","3.8"
"OG Anunoby","TOR","SF","6-07","232","London, England","","2018","1997-07-17","26","27","34.3","14.8","4.5","2.0"
"Lamar Stevens","BOS","PF","6-08","225","Philadelphia, PA","","2021","1997-07-09","26","17","15.0","7.6","3.5","0.8"
"Ty Jerome","CLE","","6-05","195","New York, NY","","2020","1997-07-07","26","2","7.0","2.0","0.5","1.5"
"Kevon Harris","ORL","SF","6-06","216","Ellenwood, GA","","2023","1997-06-24","26","2","2.5","2.0","1.0","0.5"
"Amir Coffey","LAC","SF","6-07","210","","","2020","1997-06-17","26","75","20.5","6.4","2.1","1.0"
"Chris Duarte","SAC","SG","6-06","190","","","2022","1997-06-14","26","57","12.0","4.0","1.8","0.8"
"Svi Mykhailiuk","BOS","SF","6-07","205","","","2024","1997-06-10","26","34","10.4","4.4","1.4","1.1"
"Sviatoslav Mykhailiuk","BOS","","6-07","205","Cherkasy, Ukraine","","2019","1997-06-10","26","8","6.9","2.0","0.5","0.1"
"Lauri Markkanen","UTA","PF","7-00","240","Vantaa, Finland","","2018","1997-05-22","26","55","32.5","23.2","8.2","2.0"
"Moe Wagner","ORL","C","6-11","245","","","2019","1997-04-26","27","87","16.9","10.5","4.3","1.1"
"Matt Ryan","NOP","SF","6-07","215","","","2022","1997-04-17","27","28","13.5","5.4","1.4","0.6"
"Admiral Schofield","ORL","SF","6-05","241","London, England","","2020","1997-03-30","27","19","3.7","1.4","0.9","0.4"
"Chimezie Metu","PHO","PF","6-09","225","Los Angeles, CA","","2019","1997-03-22","27","35","17.0","6.8","4.0","0.9"
"Ivica Zubac","LAC","C","7-00","240","—","","2017","1997-03-18","27","74","26.3","12.0","9.2","1.3"
"Landry Shamet","WAS","PG","6-04","190","Kansas City, MO","","2022","1997-03-13","27","46","15.4","7.1","1.3","1.2"
"Matisse Thybulle","POR","SF","6-05","200","Scottsdale, Arizona","","2020","1997-03-04","27","65","22.4","5.4","2.1","1.4"
"Trevelin Queen","ORL","SG","6-06","190","Baltimore, MD","","2022","1997-02-25","27","14","11.4","2.9","1.4","1.3"
"Jamal Murray","DEN","PG","6-04","207","Kitchener, Canada","","2017","1997-02-23","27","68","32.0","21.1","4.2","6.5"
"Derrick Jones","DAL","SF","6-06","200","Chester, PA","","2017","1997-02-15","27","85","23.7","8.6","3.4","1.0"
"Braxton Key","DEN","PF","6-08","230","Charlotte, NC","","2022","1997-02-14","27","16","3.1","1.4","1.1","0.6"
"Eugene Omoruyi","WAS","C","6-06","235","","","2022","1997-02-14","27","42","8.9","4.9","2.0","0.8"
"Drew Eubanks","PHO","C","6-09","250","Starkville, MS","","2019","1997-02-01","27","78","15.1","5.1","4.2","0.8"
"Donte DiVincenzo","NYK","SG","6-04","203","Newark, DE","","2019","1997-01-31","27","91","29.4","15.7","3.7","2.7"
"Haywood Highsmith","MIA","PF","6-07","220","Baltimore, Maryland","","2019","1996-12-09","27","73","20.9","6.2","3.2","1.1"
"Malik Beasley","MIL","SG","6-04","195","Atlanta, Georgia","","2017","1996-11-26","27","85","28.6","11.1","3.6","1.3"
"Dean Wade","CLE","PF","6-09","228","Wichita, Kansas","","2020","1996-11-20","27","55","19.9","5.4","4.1","0.9"
"Kaiser Gates","NOP","","6-08","227","Alpharetta, GA","","2024","1996-11-08","27","1","7.0","0.0","1.0","0.0"
"Devin Booker","PHO","PG","6-05","210","","","2016","1996-10-30","27","72","35.8","27.1","4.4","6.9"
"Garrison Mathews","ATL","SG","6-05","204","Franklin, Tennessee","","2020","1996-10-24","27","66","14.8","5.0","1.4","0.6"
"Jaylen Brown","BOS","SF","6-06","220","Marietta, Georgia","","2017","1996-10-24","27","78","33.1","23.1","5.7","3.4"
"Terance Mann","LAC","SG","6-05","215","","","2020","1996-10-18","27","81","24.9","8.8","3.5","1.6"
"Aaron Holiday","HOU","PG","6-00","185","Ruston, LA","","2019","1996-09-30","27","78","15.8","6.6","1.6","1.8"
"Shake Milton","MIN","","6-05","205","Owasso, Oklahoma","","2019","1996-09-26","27","37","12.3","4.8","1.6","1.3"
"Dylan Windler","NYK","","6-06","200","Indianapolis, IN","","2021","1996-09-22","27","3","2.0","1.0","0.3","0.3"
"Brandon Clarke","MEM","PF","6-08","215","Vancouver, Canada","","2020","1996-09-19","27","6","21.8","11.3","5.3","1.5"
"Dejounte Murray","ATL","SG","6-04","170","Seattle, Washington","","2017","1996-09-19","27","79","35.3","22.6","5.4","6.4"
"Donovan Mitchell","CLE","SG","6-01","215","Greenwich, Connecticut","","2018","1996-09-07","27","65","35.3","27.0","5.2","5.8"
"Jalen Brunson","NYK","PG","6-01","190","New Brunswick, New Jersey","","2019","1996-08-31","27","87","35.5","29.2","3.6","6.9"
"Mikal Bridges","BRK","SF","6-06","210","Philadelphia, Pennsylvania","","2019","1996-08-30","27","82","34.3","19.6","4.5","3.7"
"Bruce Brown","IND","SG","6-04","202","Boston, Massachusetts","","2019","1996-08-15","27","34","27.2","10.7","4.2","2.8"
"Ben Simmons","BRK","PG","6-10","230","Melbourne, Australia","","2018","1996-07-20","27","15","23.5","6.1","8.0","5.7"
"Duop Reath","POR","C","6-11","244","","","2024","1996-06-26","27","68","17.5","9.1","3.7","1.0"
"Luke Kennard","MEM","SG","6-05","206","","","2018","1996-06-24","27","39","25.1","11.0","2.9","3.5"
"Gabe Vincent","LAL","PG","6-03","200","Modesto, CA","","2020","1996-06-14","27","17","17.5","2.9","1.2","1.5"
"Sam Merrill","CLE","SG","6-05","205","Salt Lake City, Utah","","2021","1996-05-15","27","68","16.4","7.4","1.9","1.7"
"Tyus Jones","WAS","PG","6-00","184","Burnsville, MN","","2016","1996-05-10","28","66","28.9","12.0","2.7","7.3"
"Domantas Sabonis","SAC","C","6-11","240","Portland, Oregon","","2017","1996-05-03","28","84","35.2","19.5","13.6","8.1"
"Jordan McLaughlin","MIN","PG","5-11","185","Pasadena, California","","2020","1996-04-09","28","60","10.2","3.3","1.2","1.9"
"Max Strus","CLE","SF","6-05","215","Hickory Hills, IL","","2020","1996-03-28","28","80","31.8","11.8","4.8","3.7"
"Myles Turner","IND","C","6-11","250","","","2016","1996-03-24","28","88","27.1","17.1","6.9","1.4"
"John Konchar","MEM","PG","6-05","210","West Chicago, Illinois","","2023","1996-03-22","28","54","21.2","4.4","4.7","2.0"
"Cameron Johnson","BRK","PF","6-08","210","Moon Township, Pennsylvania","","2020","1996-03-03","28","58","27.1","13.3","4.3","2.4"
"D'Angelo Russell","LAL","PG","6-04","198","Louisville, KY","","2016","1996-02-23","28","83","32.4","17.8","3.0","6.2"
"Kevon Looney","GSW","C","6-09","220","Milwaukee, Wisconsin","","2016","1996-02-06","28","74","15.5","4.5","5.6","1.8"
"Keita Bates-Diop","PHO","SF","6-08","235","Normal, IL","","2019","1996-01-23","28","39","12.2","3.7","2.1","0.7"
"Dillon Brooks","HOU","SF","6-07","220","Mississauga, Canada","","2018","1996-01-22","28","72","30.4","12.7","3.4","1.6"
"Kelly Oubre","PHI","SF","6-07","205","New Orleans, LA","","2016","1995-12-09","28","75","30.4","15.2","5.0","1.5"
"Simone Fontecchio","UTA","SF","6-07","201","","","2023","1995-12-09","28","50","24.6","10.5","3.7","1.5"
"Karl-Anthony Towns","MIN","PF","6-11","248","Edison, New Jersey","","2016","1995-11-15","28","70","32.4","21.4","8.4","3.0"
"Trey Lyles","SAC","PF","6-09","234","Saskatoon, Canada","","2016","1995-11-05","28","60","19.4","7.1","4.4","1.2"
"Jae'sean Tate","HOU","PF","6-04","230","","","2021","1995-10-28","28","65","15.4","4.1","3.0","1.0"
"Jock Landale","HOU","C","6-11","255","Melbourne, Australia","","2022","1995-10-25","28","55","13.3","5.0","3.1","1.2"
"Jakob Poeltl","TOR","C","7-01","230","Vienna, Austria","","2017","1995-10-15","28","50","25.8","11.1","8.6","2.5"
"Grayson Allen","PHO","SF","6-04","198","Jacksonville, FL","","2019","1995-10-08","28","77","32.7","13.3","3.9","3.0"
"Cody Martin","CHH","SF","6-05","200","Mocksville, NC","","2020","1995-09-28","28","28","26.4","7.5","3.9","3.7"
"Caleb Martin","MIA","PF","6-05","200","Mocksville, North Carolina","","2020","1995-09-28","28","71","27.3","10.0","4.3","2.1"
"Christian Wood","LAL","","6-10","214","Long Beach, California","","2016","1995-09-27","28","50","16.9","6.9","5.1","1.0"
"Aaron Gordon","DEN","PF","6-08","220","San Jose, California","","2015","1995-09-16","28","82","31.7","14.0","6.5","3.7"
"Jevon Carter","CHI","PG","6-01","196","Maywood, Illinois","","2019","1995-09-14","28","73","13.3","4.9","0.8","1.3"
"Sasha Vezenkov","SAC","PF","6-09","225","Nicosia, Cyprus","","2024","1995-08-06","28","44","11.4","5.2","2.2","0.4"
"Kristaps Porzingis","BOS","C","7-03","240","Liepaja, Latvia","","2016","1995-08-02","28","61","28.9","19.5","7.0","2.0"
"Kyle Kuzma","WAS","PF","6-08","220","Flint, Michigan","","2018","1995-07-24","28","70","32.2","22.2","6.6","4.2"
"Luke Kornet","BOS","C","7-02","250","","","2018","1995-07-15","28","69","14.8","5.1","4.2","1.0"
"Dante Exum","DAL","PG","6-05","190","Melbourne, Australia","","2015","1995-07-13","28","64","17.7","6.9","2.5","2.5"
"Damian Jones","CLE","C","6-11","245","Baton Rouge, LA","","2017","1995-06-30","28","36","7.1","3.0","1.8","0.5"
"Monte Morris","DET","PG","6-02","175","Grand Rapids, MI","","2018","1995-06-27","28","6","12.9","4.5","1.6","1.9"
"Cedi Osman","SAS","SF","6-07","215","","","2018","1995-04-08","29","72","17.3","6.8","2.5","1.7"
"Zach LaVine","CHI","SG","6-06","200","","","2015","1995-03-10","29","25","34.4","19.4","5.2","3.9"
"Josh Hart","NYK","SF","6-05","215","Silver Spring, Maryland","","2018","1995-03-06","29","91","34.1","10.2","8.8","4.2"
"Andrew Wiggins","GSW","SF","6-07","202","Toronto, Canada","","2015","1995-02-23","29","72","26.5","13.2","4.5","1.7"
"Devonte' Graham","SAS","SG","6-01","185","Raleigh, North Carolina","","2019","1995-02-22","29","23","13.1","5.0","1.6","2.1"
"Nikola Jokic","DEN","C","7-00","250","Sombor, Serbia-Montenegro","","2016","1995-02-19","29","88","34.7","26.5","12.5","8.9"
"Bobby Portis","MIL","C","6-10","250","Little Rock, Arkansas","","2016","1995-02-10","29","88","24.4","14.0","7.7","1.3"
"Xavier Moon","LAC","PG","6-02","190","Goodwater, AL","","2022","1995-01-02","29","13","8.5","2.5","1.4","1.6"
"Giannis Antetokounmpo","MIL","PF","6-11","242","Athens, Greece","","2014","1994-12-06","29","73","34.6","30.4","11.5","6.5"
"Kenrich Williams","OKC","SF","6-06","210","Waco, Texas","","2019","1994-12-02","29","74","13.7","4.4","2.9","1.3"
"Julius Randle","NYK","PF","6-08","250","Dallas, Texas","","2015","1994-11-29","29","46","35.1","23.9","9.2","4.9"
"Yuta Watanabe","PHO","","6-08","205","Miki, Japan","","2019","1994-10-13","29","27","14.1","3.7","1.7","0.4"
"Gary Harris","ORL","SG","6-04","210","Fishers, Indiana","","2015","1994-09-14","29","60","23.7","6.6","1.7","1.5"
"Ish Wainright","POR","PF","6-05","235","Kansas City, MO","","2022","1994-09-12","29","7","5.5","2.3","1.4","0.1"
"Caris LeVert","CLE","SF","6-06","204","Columbus, Ohio","","2017","1994-08-25","29","78","27.7","13.4","4.0","4.7"
"Jusuf Nurkic","PHO","C","7-00","275","Tuzla, Bosnia","","2015","1994-08-23","29","80","26.8","10.8","10.9","3.9"
"Cameron Payne","MIL","PG","6-03","190","Memphis, Tennessee","","2016","1994-08-08","29","47","15.9","7.2","1.5","2.5"
"Derrick White","BOS","PG","6-04","190","Parker, Colorado","","2018","1994-07-02","29","81","32.2","15.7","4.1","5.0"
"Clint Capela","ATL","C","6-10","240","Geneva, Switzerland","","2015","1994-05-18","29","74","25.4","11.6","10.7","1.3"
"Duncan Robinson","MIA","SG","6-07","210","York, Maine","","2019","1994-04-22","30","74","26.2","12.1","2.4","2.7"
"Dario Saric","GSW","PF","6-10","250","Sibenik, Croatia","","2017","1994-04-08","30","64","16.7","8.0","4.4","2.2"
"Ryan Arcidiacono","NYK","SG","6-03","200","","","2018","1994-03-26","30","16","2.1","0.0","0.6","0.2"
"Taurean Prince","LAL","SF","6-07","220","San Marcos, Texas","","2017","1994-03-22","30","85","26.0","8.8","2.9","1.5"
"Kris Dunn","UTA","PG","6-03","205","New London, Connecticut","","2017","1994-03-18","30","64","19.0","5.6","3.0","3.9"
"Terry Rozier","CHH","PG","6-01","190","Youngstown, Ohio","","2016","1994-03-17","30","30","33.0","19.8","4.1","5.6"
"Joel Embiid","PHI","C","7-00","260","Yaounde, Cameroon","","2017","1994-03-16","30","46","34.2","34.3","11.0","5.6"
"Jerami Grant","POR","PF","6-08","220","Portland, Oregon","","2015","1994-03-12","30","54","33.4","21.0","3.5","2.8"
"Marcus Smart","MEM","PG","6-03","220","","","2015","1994-03-06","30","20","30.2","14.5","2.7","4.2"
"Alex Caruso","CHI","SF","6-05","186","College Station, Texas","","2018","1994-02-28","30","73","28.3","10.0","3.8","3.5"
"Fred VanVleet","HOU","PG","6-01","195","Rockford, IL","","2017","1994-02-25","30","73","36.3","17.4","3.8","8.0"
"Pascal Siakam","TOR","PF","6-09","230","Douala, Cameroon","","2017","1994-02-04","30","39","32.9","21.6","7.2","4.2"
"Vasilije Micic","OKC","PG","6-06","202","Kraljevo, Serbia-Montenegro","","2024","1994-01-13","30","30","19.1","7.0","1.5","4.4"
"Buddy Hield","IND","SG","6-04","214","Freeport, Bahamas","","2017","1993-12-17","30","53","24.6","11.7","3.1","2.7"
"Richaun Holmes","DAL","C","6-10","235","Lockport, IL","","2016","1993-10-15","30","23","13.4","5.0","4.6","0.6"
"Shaquille Harrison","MEM","","6-07","190","Kansas City, MO","","2018","1993-10-06","30","3","1.7","0.7","0.3","0.0"
"Kyle Anderson","MIN","PF","6-09","230","New York, NY","","2015","1993-09-20","30","86","21.5","6.1","3.4","4.0"
"Dennis Schroder","TOR","PG","6-01","172","Braunschweig, Germany","","2014","1993-09-15","30","51","30.6","14.0","3.0","6.1"
"Josh Richardson","MIA","PG","6-05","200","Edmond, OK","","2016","1993-09-15","30","43","24.8","9.9","2.8","2.4"
"Andre Drummond","CHI","C","6-10","279","Mount Vernon, New York","","2013","1993-08-10","30","81","16.5","8.3","8.8","0.5"
"Steven Adams","MEM","PF","6-11","265","Rotorua, New Zealand","","2014","1993-07-20","30","1","15.0","7.0","7.0","1.0"
"Bradley Beal","PHO","SG","6-03","207","","","2013","1993-06-28","30","57","33.2","18.1","4.3","4.9"
"Georges Niang","CLE","PF","6-07","230","","","2017","1993-06-17","30","90","21.0","8.8","3.2","1.1"
"Alex Len","SAC","C","7-00","250","Antratsit, Ukraine","","2014","1993-06-16","30","49","8.8","2.4","2.7","1.0"
"Danuel House","PHI","SF","6-06","207","Sugar Land, Texas","","2018","1993-06-07","30","34","14.5","4.2","1.7","0.8"
"Royce O'Neale","BRK","PF","6-04","226","Killeen, Texas","","2018","1993-06-05","30","49","24.3","7.6","4.8","2.7"
"Otto Porter","TOR","","6-08","198","St. Louis, Missouri","","2014","1993-06-03","30","15","11.1","2.6","2.0","0.5"
"Norman Powell","LAC","SG","6-03","215","San Diego, California","","2016","1993-05-25","30","82","26.0","13.8","2.6","1.0"
"Dorian Finney-Smith","BRK","PF","6-07","220","Portsmouth, Virginia","","2017","1993-05-04","31","68","28.2","8.6","4.7","1.6"
"Juan Toscano-Anderson","SAC","PF","6-06","215","Oakland, CA","","2020","1993-04-10","31","9","5.2","0.8","1.6","0.4"
"Spencer Dinwiddie","BRK","PG","6-05","210","Los Angeles, California","","2015","1993-04-06","31","48","26.8","9.9","2.6","4.4"
"Anthony Davis","LAL","C","6-10","253","","","2013","1993-03-11","31","83","35.6","25.0","13.0","3.5"
"Kentavious Caldwell-Pope","DEN","SG","6-05","205","Thomaston, Georgia","","2014","1993-02-18","31","85","31.4","9.8","2.4","2.4"
"Chris Boucher","TOR","C","6-09","200","Castries, St. Lucia","","2018","1993-01-11","31","50","13.6","6.5","4.1","0.5"
"Pat Connaughton","MIL","SF","6-05","209","Arlington, Massachusetts","","2016","1993-01-06","31","82","21.5","5.5","3.2","2.1"
"Larry Nance","NOP","C","6-07","230","","","2016","1993-01-01","31","67","19.6","5.9","5.3","1.9"
"Malcolm Brogdon","POR","PG","6-05","224","Norcross, GA","","2017","1992-12-11","31","40","28.3","15.7","3.8","5.4"
"Gary Payton II","GSW","","6-03","190","Seattle, WA","","2017","1992-12-01","31","43","15.0","5.4","2.5","1.1"
"Davis Bertans","OKC","PF","6-10","225","Valmiera, Latvia","","2017","1992-11-12","31","13","15.9","7.1","1.5","0.9"
"Evan Fournier","NYK","SF","6-07","205","Saint-Maurice, France","","2013","1992-10-29","31","4","17.6","6.9","1.8","1.5"
"Anthony Gill","WAS","C","6-08","230","Charlottesville, Virginia","","2021","1992-10-17","31","43","10.3","4.4","2.2","0.8"
"Cody Zeller","NOP","C","7-00","240","Washington, IN","","2014","1992-10-05","31","42","7.2","1.8","2.7","0.9"
"Bismack Biyombo","MEM","C","6-08","255","Lubumbashi, Congo","","2012","1992-08-28","31","29","19.7","4.5","5.3","1.4"
"Bogdan Bogdanovic","ATL","SG","6-06","205","Belgrade, Serbia-Montenegro","","2018","1992-08-18","31","80","30.0","16.9","3.4","3.2"
"Thanasis Antetokounmpo","MIL","PF","6-06","215","Athens, Greece","","2016","1992-07-17","31","31","4.5","1.0","0.4","0.5"
"Tobias Harris","PHI","PF","6-08","235","Islip, New York","","2012","1992-07-15","31","77","33.5","16.5","6.6","3.0"
